"Provincia_first";"water3";"count";"perc"
"Cabo Delgado";"Improved";105106;47,4
"Cabo Delgado";"Surface water";15234;6,9
"Cabo Delgado";"Unimproved";101583;45,8
"Cidade de Maputo";"Improved";105007;98,8
"Cidade de Maputo";"Surface water";55;0,1
"Cidade de Maputo";"Unimproved";1241;1,2
"Gaza";"Improved";103670;76,6
"Gaza";"Surface water";12033;8,9
"Gaza";"Unimproved";19712;14,6
"Inhambane";"Improved";76432;53,9
"Inhambane";"Surface water";6637;4,7
"Inhambane";"Unimproved";58695;41,4
"Manica";"Improved";85206;46,2
"Manica";"Surface water";28091;15,2
"Manica";"Unimproved";71106;38,6
"Maputo Cidade";"Improved";1324;100
"Maputo Provincia";"Improved";171591;91
"Maputo Provincia";"Surface water";5375;2,8
"Maputo Provincia";"Unimproved";11667;6,2
"Nampula";"Improved";216378;41,1
"Nampula";"Surface water";51240;9,7
"Nampula";"Unimproved";259093;49,2
"Niassa";"Improved";61570;37
"Niassa";"Surface water";22915;13,8
"Niassa";"Unimproved";81985;49,2
"Sofala";"Improved";134273;61,1
"Sofala";"Surface water";17472;7,9
"Sofala";"Unimproved";68087;31
"Tete";"Improved";127495;50,2
"Tete";"Surface water";33907;13,3
"Tete";"Unimproved";92619;36,5
"Zambezia";"Improved";149306;29,9
"Zambezia";"Surface water";48973;9,8
"Zambezia";"Unimproved";300641;60,3
