"Provincia_first";"URB_RUR";"water3";"count";"perc"
"Cabo Delgado";"Rural";"Improved";70309;41,6
"Cabo Delgado";"Rural";"Surface water";14535;8,6
"Cabo Delgado";"Rural";"Unimproved";83967;49,7
"Cabo Delgado";"Urbana";"Improved";34797;65,5
"Cabo Delgado";"Urbana";"Surface water";699;1,3
"Cabo Delgado";"Urbana";"Unimproved";17616;33,2
"Cidade de Maputo";"Urbana";"Improved";105007;98,8
"Cidade de Maputo";"Urbana";"Surface water";55;0,1
"Cidade de Maputo";"Urbana";"Unimproved";1241;1,2
"Gaza";"Rural";"Improved";66408;70,5
"Gaza";"Rural";"Surface water";11435;12,1
"Gaza";"Rural";"Unimproved";16390;17,4
"Gaza";"Urbana";"Improved";37262;90,5
"Gaza";"Urbana";"Surface water";598;1,5
"Gaza";"Urbana";"Unimproved";3322;8,1
"Inhambane";"Rural";"Improved";44200;43,6
"Inhambane";"Rural";"Surface water";6436;6,3
"Inhambane";"Rural";"Unimproved";50770;50,1
"Inhambane";"Urbana";"Improved";32232;79,9
"Inhambane";"Urbana";"Surface water";201;0,5
"Inhambane";"Urbana";"Unimproved";7925;19,6
"Manica";"Rural";"Improved";38386;31,2
"Manica";"Rural";"Surface water";27722;22,5
"Manica";"Rural";"Unimproved";56917;46,3
"Manica";"Urbana";"Improved";46820;76,3
"Manica";"Urbana";"Surface water";369;0,6
"Manica";"Urbana";"Unimproved";14189;23,1
"Maputo Cidade";"Urbana";"Improved";1324;100
"Maputo Provincia";"Rural";"Improved";50924;78,6
"Maputo Provincia";"Rural";"Surface water";4869;7,5
"Maputo Provincia";"Rural";"Unimproved";9000;13,9
"Maputo Provincia";"Urbana";"Improved";120667;97,4
"Maputo Provincia";"Urbana";"Surface water";506;0,4
"Maputo Provincia";"Urbana";"Unimproved";2667;2,2
"Nampula";"Rural";"Improved";105469;28,7
"Nampula";"Rural";"Surface water";44566;12,1
"Nampula";"Rural";"Unimproved";217010;59,1
"Nampula";"Urbana";"Improved";110909;69,5
"Nampula";"Urbana";"Surface water";6674;4,2
"Nampula";"Urbana";"Unimproved";42083;26,4
"Niassa";"Rural";"Improved";43532;34,3
"Niassa";"Rural";"Surface water";20609;16,2
"Niassa";"Rural";"Unimproved";62954;49,5
"Niassa";"Urbana";"Improved";18038;45,8
"Niassa";"Urbana";"Surface water";2306;5,9
"Niassa";"Urbana";"Unimproved";19031;48,3
"Sofala";"Rural";"Improved";54903;42,8
"Sofala";"Rural";"Surface water";17095;13,3
"Sofala";"Rural";"Unimproved";56297;43,9
"Sofala";"Urbana";"Improved";79370;86,7
"Sofala";"Urbana";"Surface water";377;0,4
"Sofala";"Urbana";"Unimproved";11790;12,9
"Tete";"Rural";"Improved";86004;41,6
"Tete";"Rural";"Surface water";32591;15,8
"Tete";"Rural";"Unimproved";88069;42,6
"Tete";"Urbana";"Improved";41491;87,6
"Tete";"Urbana";"Surface water";1316;2,8
"Tete";"Urbana";"Unimproved";4550;9,6
"Zambezia";"Rural";"Improved";100591;24,6
"Zambezia";"Rural";"Surface water";44103;10,8
"Zambezia";"Rural";"Unimproved";264882;64,7
"Zambezia";"Urbana";"Improved";48715;54,5
"Zambezia";"Urbana";"Surface water";4870;5,5
"Zambezia";"Urbana";"Unimproved";35759;40
